               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.045256,             0.10801,           0.0005224,             0.96007,             0.97393,             0.95907,             0.40732,            0.038468,            0.031789,          0.00037116,             0.00703,             0.00703,             0.00703
                  62,             0.04379,             0.10352,          0.00054025,             0.84733,             0.91997,             0.91121,             0.32473,            0.042711,             0.03227,            0.000366,           0.0069805,           0.0069805,           0.0069805
                  63,            0.043897,             0.10047,          0.00058724,             0.92816,             0.95019,             0.92326,             0.33697,            0.039985,            0.032361,          0.00036626,            0.006931,            0.006931,            0.006931
                  64,            0.043675,             0.10083,          0.00055349,             0.94391,             0.95806,             0.94184,             0.35694,            0.040061,            0.032084,          0.00035776,           0.0068815,           0.0068815,           0.0068815
                  65,            0.041806,             0.10607,           0.0005729,             0.92396,             0.96349,             0.94524,              0.3716,            0.040018,            0.032297,          0.00037317,            0.006832,            0.006832,            0.006832
                  66,            0.042729,             0.10793,          0.00053037,             0.93973,             0.95748,              0.9396,             0.35128,            0.040192,            0.032522,          0.00037637,           0.0067825,           0.0067825,           0.0067825
                  67,            0.044192,             0.10469,          0.00053589,             0.97088,             0.97357,             0.96462,             0.41156,            0.036378,            0.031864,          0.00038245,            0.006733,            0.006733,            0.006733
                  68,            0.043258,             0.10407,          0.00052168,             0.82432,              0.8917,             0.84657,             0.27927,            0.044469,            0.032324,          0.00033495,           0.0066835,           0.0066835,           0.0066835
                  69,            0.042472,             0.10415,          0.00050354,             0.95524,             0.96254,             0.95091,             0.36961,            0.038723,              0.0319,          0.00036377,            0.006634,            0.006634,            0.006634
                  70,            0.040688,             0.09773,          0.00052896,             0.96288,             0.97271,              0.9591,               0.395,             0.03697,            0.031744,          0.00036105,           0.0065845,           0.0065845,           0.0065845
                  71,            0.043168,             0.10405,          0.00048673,             0.96465,             0.97193,             0.95726,             0.40637,            0.036653,            0.031667,          0.00037071,            0.006535,            0.006535,            0.006535
                  72,            0.041931,             0.10505,           0.0004999,             0.95941,             0.97213,              0.9546,              0.3653,            0.039691,            0.031741,          0.00034351,           0.0064855,           0.0064855,           0.0064855
                  73,            0.041394,             0.10307,           0.0004484,             0.96585,             0.97504,             0.96173,             0.41405,            0.036647,             0.03144,          0.00031625,            0.006436,            0.006436,            0.006436
                  74,            0.042445,             0.10215,          0.00046665,             0.95734,             0.96696,             0.95331,             0.37029,            0.038145,             0.03217,          0.00033453,           0.0063865,           0.0063865,           0.0063865
                  75,            0.042669,             0.10618,          0.00046792,             0.95396,             0.97032,              0.9571,             0.38874,            0.037927,            0.031952,           0.0003407,            0.006337,            0.006337,            0.006337
                  76,            0.041874,             0.10571,          0.00045204,              0.9674,             0.97616,             0.96156,             0.40107,            0.037398,            0.031886,          0.00032988,           0.0062875,           0.0062875,           0.0062875
